[[0.41640581511013597], [0.7291994284968277], [0.6833439435962723], [0.4744088134667581], [0.5142735480924875], [0.5755167422957979], [0.8537445175449284], [0.5764373607460637], [0.510022573183501], [0.6809853444568512], [0.6668228280196836], [0.389018955012603], [0.5881772990491354], [0.5153814963265299], [0.554231306911264], [0.474433802391651], [0.6611957691526064], [0.8825072581679833], [0.5769670891020235], [0.3224167658002006], [0.5208426546059286], [0.6197827351725194], [0.5316469561803939], [0.5641718041308169], [0.4117574477295398], [0.4148758343449207], [0.47421909915128685], [0.42957545017072973], [0.5846346575023376], [0.3751179565165519], [0.49997623270159597], [0.37651537287495623], [0.47388066822093455], [0.6959497222984345], [0.4324138584832271], [0.4077862875700869], [0.6210005244249744], [0.3828529627448886], [0.5324786819195226], [0.4096914193128747], [0.5726208422200546], [0.4822473513235156], [0.3677874445432837], [0.6453417161147036], [0.6478355608145858], [0.4930243159391289], [0.2261869612247063], [0.5446236767063994], [0.4627956757632623], [0.4907039853980929], [0.6011443034310491], [0.29170253308947713], [0.8748901406776262], [0.43843238208098173], [0.48751641785726746], [0.3971848605283068], [0.45304569310158493], [0.47542743761882617], [0.5260421541579923], [0.5726646515123117], [0.587525906494409], [0.44855950773205666], [0.5131914471516134], [0.6188745932724401], [0.5533738578122439], [0.4080348981812223], [0.6377419517741575], [0.41709428260516157], [0.5160293690307091], [0.4945532265634288], [0.3941902287241466], [0.6279621974645084], [0.34619650938809843], [0.7385469380295953], [0.5930713315217537], [0.5879767597591974], [0.6022297543811419], [0.6041681018732622], [0.5367453294688119], [0.43419324192211406], [0.42197306985693667], [0.4074174180815412], [0.3697926441164242], [0.45973445409816593], [0.49168610943776075], [0.4876576619246363], [0.2915971833617844], [0.4759028437802975], [0.415401190953418], [0.9181509090246603], [0.42137083504193884], [0.4024516072803257], [0.4600127028076341], [0.5615212299264571], [0.5337426752320085], [0.6973428723452751], [0.47311998245616893], [0.532445639691701], [0.4901258845816171], [0.6092394964360757], [0.8846762359538741], [0.5506570621080595], [0.5085568539182423], [0.38706141641773917], [0.39156710126721195], [0.5358455826428401], [0.5353155455228342], [0.6337599898055628], [0.4216109652287789], [0.3531383389140643], [0.4584171578992424], [0.3527983942562637], [0.4762416925571144], [0.41097438867156844], [0.560497918561814], [0.580544823362678], [0.42908345735412223], [0.427391496485643], [0.5498601207987427], [0.2973549702352959], [0.2504914014396966], [0.4245174690307424], [0.468840474181436], [0.4394430498855031], [0.7116350823682382], [0.6745303162164651], [0.5511288716488485], [0.3023120007565743]]
[[0.42976069002666084], [0.8265195520148781], [0.7613458466269356], [0.5910127677119965], [0.6453754658210218], [0.7888558855522213], [0.6137246840203363], [0.6577128720245232], [0.618431632431409], [0.7077854232676376], [0.7120298043655402], [0.6715229281792711], [0.6883286125669403], [0.5432123751582145], [0.8475799714886256], [0.6839022935869344], [0.6675527371470653], [0.8156364084135449], [0.6317213758954261], [0.4476420624882748], [0.5600185193648665], [0.5381646878685632], [0.6124173624196507], [0.5086088221405795], [0.7888803635749332], [0.683703876057729], [0.5449888867318037], [0.5721716145296214], [0.5887820137104669], [0.5413821362037301], [0.6686741575682823], [0.5548080088715863], [0.6678869798592076], [0.6797685629305539], [0.7960184276595316], [0.41704292870134396], [0.6722407157572028], [0.7574037700562783], [0.5436438868687034], [0.5525552305429017], [0.5580160669029307], [0.5173053301276586], [0.4950138934874051], [0.707303864004944], [0.6381609942078172], [0.5952729216960453], [0.36076067278020485], [0.6149036007103369], [0.6600050044565081], [0.5067173986906301], [0.7397952111109118], [0.5743457885820371], [1.0387954957561598], [0.6036051656605258], [0.5325346123199137], [0.5196356868762083], [0.582340452236053], [0.5174974308717], [0.7596147311373109], [0.631935264571781], [0.6577065949752743], [0.5329154543617242], [0.807111716718717], [0.6210441858435147], [0.793507565808633], [0.5385499182792662], [0.6462646947995319], [0.5125979641910089], [0.6911553710254122], [0.6717895843863709], [0.6107858042666789], [0.5566756736396127], [0.5275671127151749], [0.8614629503606864], [0.712432765073565], [0.9179317851825275], [0.7381575292057505], [0.7832631828353819], [0.7507769782930186], [0.6404682618633194], [0.6072088037289638], [0.6134382763652104], [0.7760046203861137], [0.6763518406309248], [0.7621722314110071], [0.6270351784004176], [0.5995626992374452], [0.8821243952769954], [0.5065178273991818], [0.7267948429843983], [0.5784266185558614], [0.4168361640748014], [0.6160846440810536], [0.52964141992591], [0.5887941810222717], [0.6519990963678826], [0.4829118231713684], [0.5923942352599396], [0.5348521467669201], [0.6061456808701646], [0.744999446676572], [0.6313820876325574], [0.7883442032311003], [0.48683836656270846], [0.65376801773727], [0.5419932101971279], [0.6958663775318072], [0.6780140456535311], [0.6266014569937698], [0.5813379623409015], [0.5693150611972861], [0.6009281714115202], [0.5630681499572576], [0.5175820184281159], [0.7842144539342453], [0.6648430026076544], [0.7235065520015174], [0.5274046125960804], [0.7121380521169143], [0.5469829335311723], [0.5648232607339121], [0.5468761757270235], [0.7292806940603889], [0.6046229199383812], [0.7862182956429988], [0.7064834037619698], [0.7405667763670764], [0.5201571393915704]]
[[0.4783297974250436], [0.7365718475926554], [0.7926935648060665], [0.5111105946621127], [0.5293680999381136], [0.5882226272239182], [0.5356184668861057], [0.5353459298768767], [0.510022573183501], [0.6540807647471603], [0.7203565030700939], [0.5737680494261607], [0.6045502175536596], [0.5449450888873923], [0.7806426441418254], [0.6077949272603494], [0.6635384975459193], [0.6497886914344412], [0.6229558795885751], [0.5710126426832651], [0.5083559721417552], [0.5428673596170042], [0.5471863505706405], [0.4913515490559788], [0.87069748812213], [0.6549005277756018], [0.5117002322344785], [0.5114582957203047], [0.5593355640398574], [0.7368011238048378], [0.6590056701685043], [0.49155830491687397], [0.6407521312110206], [0.5018400687759045], [0.6612156765942256], [0.5379803187459123], [0.7170619678996946], [0.7042780791542327], [0.6134137079196608], [0.5007361182624361], [0.6031028333993138], [0.5798300564610649], [0.3860799817084243], [0.5632245023477056], [0.639881487509964], [0.4449365658524931], [0.42274986428378314], [0.5597209914212884], [0.6196313457544984], [0.5089146991872108], [0.7820370149927682], [0.4346325081160063], [0.9849898324227897], [0.503576411855291], [0.39087955077458064], [0.5598156644640973], [0.5393745809352675], [0.6083368426419431], [0.5962675753632345], [0.6343243649912967], [0.6500125946052981], [0.47703365488644484], [0.6156894251168421], [0.6919514090014851], [0.7044374003875136], [0.44003288884128555], [0.713150233531784], [0.49501544760908944], [0.6460333336186626], [0.525757155649017], [0.6155370124427982], [0.5718856422977499], [0.6168972143515838], [0.8308264040719895], [0.6099685557722708], [0.7485375148339946], [0.6961119517482611], [0.710070703180568], [0.5047933620638979], [0.4978937307465681], [0.555866741329652], [0.5207962347968771], [0.6103392988469011], [0.5742411161197224], [0.5191084047816109], [0.5946987158837869], [0.5080228606392071], [0.8901370337849683], [0.5631968538681307], [0.7267948429843983], [0.5557439861107899], [0.43203225529796874], [0.5434200307095406], [0.5353781156320431], [0.6852831947074614], [0.5829650526863515], [0.5080091940329532], [0.6769684765699071], [0.5250905593059094], [0.6240254029875447], [0.7033470404835803], [0.5191080050871053], [0.6080105943330778], [0.4378969511301683], [0.48407115243172916], [0.6191802937017472], [0.6763841789127263], [0.6536983420097137], [0.599796125414954], [0.41824897526309335], [0.5236022649544575], [0.4233966188235222], [0.47439693371548086], [0.5793536929857936], [0.6481567817713101], [0.7422889596371756], [0.6148786909434876], [0.46190101390481675], [0.6006504469300641], [0.5781283551320545], [0.5648232607339121], [0.5406793039035724], [0.551259291469708], [0.5132432044437492], [0.7859147406908606], [0.612756545265325], [0.6279327560046313], [0.46645529725541895]]
[[0.28937917713346717], [0.9044000222967387], [0.5938188401073959], [0.5111105946621127], [0.7068223017143578], [0.6748281516019984], [0.4752814505518906], [0.5233181003432529], [0.447749906107827], [0.7231268328735655], [0.6108485298475551], [0.5404075679915681], [0.6798190070860529], [0.5793359108434222], [0.6437450918953874], [0.6276703464950562], [0.6724787168337687], [0.7344724770080795], [0.6171850619142044], [0.4755842741751215], [0.37849174656190687], [0.5976650432845981], [0.5273742951697956], [0.5296914402032922], [0.7087020335604229], [0.5515772084156613], [0.5558813342146385], [0.44742366019581514], [0.6891370133190867], [0.5126240412858628], [0.6492267631549061], [0.5595710637743126], [0.670763565116238], [0.7065721784909712], [0.7489518813886695], [0.39659004323714625], [0.6251002851311546], [0.5958004559691565], [0.5619796735113127], [0.47135583991165986], [0.5580160669029307], [0.6219233163784469], [0.4367964091002382], [0.5350873385789656], [0.7417662285379256], [0.5122104891616701], [0.40594115704037703], [0.6026136556480767], [0.5180380951614506], [0.5953114655514914], [0.5847680647170692], [0.35636554734272846], [0.7221470700481065], [0.5796862335927837], [0.5112644706818549], [0.44455966156697163], [0.6847106414252], [0.4690085281312644], [0.694861657687279], [0.530098347998187], [0.5904981338578783], [0.4097428446358042], [0.5941924985726547], [0.6210441858435147], [0.5671090110753109], [0.44003288884128555], [0.7950053705831678], [0.4998205213084416], [0.5826401932299241], [0.6397377076947532], [0.5995095760782164], [0.6118031508199792], [0.3892946304480148], [0.6251142961309648], [0.6197568966786007], [0.7339903244559369], [0.5967985482163322], [0.9391784879861105], [0.5023050555625378], [0.6394425622940345], [0.5866954806600713], [0.5249039668009553], [0.6103392988469011], [0.45928590279824744], [0.6670821676526966], [0.5983482276774412], [0.49229026184429103], [0.840907242843255], [0.415401190953418], [0.4155022416940288], [0.6118165999542985], [0.3569593922405172], [0.641436139440946], [0.6106486870506469], [0.6547019847858504], [0.6363709419038094], [0.3856912350741535], [0.7093218208423939], [0.45028593265794303], [0.5974787576944937], [0.6546944569693633], [0.5300845837705642], [0.5929664931222126], [0.4862345679528687], [0.5808977414399235], [0.5419932101971279], [0.7408948752134948], [0.5885937199657724], [0.49878781935228983], [0.38872107551655377], [0.43262170690191365], [0.45804776771000827], [0.6086869749892658], [0.7206494523500908], [0.6178465291995295], [0.7360828042111867], [0.49298745288948786], [0.511215663722782], [0.6106628988289836], [0.4045208224349709], [0.456519688518758], [0.5059335144270839], [0.5494057378890086], [0.5115155239073144], [0.8772429503090198], [0.5913944699611704], [0.6147991164632359], [0.578366077195133]]
[[0.42976069002666084], [0.7365718475926554], [0.7189619445119425], [0.5111105946621127], [0.5784268572861389], [0.7846875460984406], [0.5773156088151583], [0.5618067209616929], [0.39415101955973353], [0.6618492658336156], [0.6710693040633638], [0.6480047360795393], [0.618907176576584], [0.5025817834475944], [0.6914243431251775], [0.5884810535003152], [0.6635384975459193], [0.6552113826187599], [0.7118731317687212], [0.4655343239717489], [0.4514257423366558], [0.568230081708204], [0.5715644358514363], [0.6525477040646781], [0.7272293310342085], [0.6624683920276149], [0.5292421812319165], [0.6417873969287463], [0.397093085961718], [0.36095210141736944], [0.6074143943167633], [0.5143081860276092], [0.5827294531684934], [0.623134891541898], [0.5208396402094905], [0.43204598877761446], [0.7369780354441319], [0.7354060511269641], [0.4939323934141339], [0.5961027446029241], [0.6643137430380848], [0.4500680164707577], [0.35614765724393815], [0.5777559570924613], [0.5431605232747811], [0.5655981251225763], [0.35506291455652317], [0.6996592899411467], [0.5981818841798474], [0.5561049563915161], [0.7820370149927682], [0.40128326168983774], [0.8359906093519158], [0.43548067635998877], [0.527100828787238], [0.4017577693594245], [0.5257906916442082], [0.4997205119981921], [0.5893840162631634], [0.631935264571781], [0.6188072637575792], [0.5909615125709553], [0.5180630245564408], [0.5884644789146457], [0.636116722772099], [0.4178040750098777], [0.6019303256468832], [0.39891387842327697], [0.6981891198482334], [0.46737994583913306], [0.6191888173839275], [0.5214098114125231], [0.4091424960306552], [0.6789010501022262], [0.636134454896534], [0.7124343971784168], [0.5967985482163322], [0.622971728784869], [0.5215572601861238], [0.5220790460970005], [0.5198293220068376], [0.5472902894140651], [0.7748690486555377], [0.5337087752241941], [0.5479410570570452], [0.5519329019220949], [0.5628623132126856], [0.6280736402454405], [0.49126049663498517], [0.5372038228417131], [0.5175895276751293], [0.35432703144679206], [0.5513680225114261], [0.48996322450159513], [0.38521621148914975], [0.6220528518922593], [0.3924075097370675], [0.6119494025805476], [0.47067854026567246], [0.6376852998415348], [0.6665061885523508], [0.4491089594676734], [0.6293001751314184], [0.46395183211800006], [0.5888000742446464], [0.6982190851923518], [0.7204293117848459], [0.6148634197340548], [0.5039795103681196], [0.38872107551655377], [0.3176696348706457], [0.2696727093161896], [0.43978174223073024], [0.6373687506658611], [0.5341347585848446], [0.6546500586163684], [0.46028299208762924], [0.571534374359788], [0.6529531157063703], [0.47882887600920127], [0.5489745237209378], [0.4525651925513816], [0.5400350617094908], [0.5818141306596478], [0.49754234051467894], [0.7248129262192612], [0.7296139477379313], [0.34581832693285564]]
[[0.42976069002666084], [0.7297787478706892], [0.7490643311100595], [0.7349520979928885], [0.6857387802106786], [0.7370442213916166], [0.5566589516343967], [0.6625255990487934], [0.533468180819506], [0.6809853444568512], [0.6431945658077306], [0.6807876033001257], [0.5872177728656808], [0.5471004583014663], [0.7397650827159794], [0.7311991677035796], [0.7434366382865017], [0.8825072581679833], [0.5470370648042906], [0.5306870692233072], [0.5780334845724477], [0.5974164071573643], [0.50848853166293], [0.49291346892320004], [0.6043344970323008], [0.4920067545192466], [0.6955731254618268], [0.5721716145296214], [0.4541891681667998], [0.40701169852741215], [0.6838927193527585], [0.5335999980154957], [0.7810692688049896], [0.6180227838670789], [0.5963452894325205], [0.40823153805635914], [0.6722407157572028], [0.6913931172894728], [0.5324786819195226], [0.711432009235004], [0.5885329780809572], [0.5011955706351581], [0.48584473045370263], [0.5571082100498426], [0.4389153407598081], [0.5500589630093985], [0.2040675731674767], [0.5594456779659104], [0.5486647274648094], [0.510624861729567], [0.6296299526080951], [0.36585782951137763], [1.0387954957561598], [0.5754378241526463], [0.5189977683618602], [0.4817704049669489], [0.5596017085181294], [0.5314376686833979], [0.6696623274401472], [0.7066478291494789], [0.6811955182679708], [0.535901348694114], [0.5573820012196646], [0.5751623577846838], [0.577568518921377], [0.4446598274701148], [0.7628988213421236], [0.7218753051809076], [0.6944601258071892], [0.8216081501324857], [0.5498926711180379], [0.5315420610918107], [0.3820639358594744], [0.7999235990802629], [0.7587282439513444], [0.6123184600427324], [0.6066661452548101], [0.6272227650081054], [0.6434654077770567], [0.49904476934256], [0.6447917557265712], [0.6143877672649856], [0.5622136497896715], [0.5337087752241941], [0.7465219316299869], [0.5596061996605659], [0.6540801018748821], [0.6882073156942488], [0.4888951751492544], [0.7850808004442931], [0.49836630295249934], [0.4604403276843656], [0.6160846440810536], [0.52964141992591], [0.7235189386008859], [0.7193817501084669], [0.44043176708360593], [0.6518625155687261], [0.4315214492611953], [0.5831349860323192], [0.6886674234722333], [0.47727449976820324], [0.6325876597511859], [0.4860523805310152], [0.564696398225416], [0.6191802937017472], [0.5293213966558143], [0.6293117041031387], [0.5394205188203093], [0.5593641390329374], [0.4584171578992424], [0.5630007815215874], [0.496024006702696], [0.5621213849243613], [0.8037927345253025], [0.761563864999177], [0.42089150937384956], [0.5237297072589846], [0.6452847554244416], [0.45719338137728105], [0.5522497141354761], [0.45846862499248], [0.4985330545988701], [0.5625371186644421], [0.5186287574707489], [0.6483485278120977], [0.6716270890896959], [0.6416926264294575]]
[[0.42056625975854156], [0.8265195520148781], [0.7734692229267791], [0.42310808329310634], [0.6388030061254575], [0.7256989039857102], [0.6692787034119353], [0.5626261004014942], [0.44493302460679623], [0.7014610526994558], [0.7396540600904289], [0.587541097715849], [0.5926414658701266], [0.593904478317628], [0.6567561439813867], [0.8005940233679358], [0.6940155160084571], [0.9073652267687635], [0.6912431199265107], [0.46440355266584843], [0.5284137061589406], [0.47001612462039416], [0.7055769425237051], [0.4684417018059597], [0.8586180177114924], [0.683703876057729], [0.69161429697752], [0.6282374895050165], [0.4864869128032713], [0.5574757167299333], [0.777681966570776], [0.6540476791582257], [0.6246512961417774], [0.6862136429817024], [0.6152871100562826], [0.3928094809195613], [0.6333636490347958], [0.5595567117898255], [0.559967324625558], [0.5475560528798273], [0.5785062750455142], [0.5800465450397942], [0.4252746215901871], [0.6716842439784614], [0.46901019685210327], [0.6815946516760747], [0.3189712365731511], [0.5585737201248109], [0.5655500386793706], [0.4269918075889575], [0.7397952111109118], [0.4618268634075717], [0.7585650935817732], [0.7107642646934025], [0.5272702467153301], [0.4996086018912171], [0.6372048145881848], [0.45277007307708317], [0.6390386204862437], [0.6466040896575399], [0.7324349195744457], [0.5288472269268368], [0.7070758853020316], [0.6210441858435147], [0.9757316437559811], [0.3789534233379244], [0.7222648203375241], [0.5916411337856556], [0.7465649183025059], [0.5738755209201534], [0.5406828997329101], [0.6243706857401115], [0.5464319403460264], [0.7148433866572792], [0.7587282439513444], [0.6672430485604428], [0.5612547327518355], [0.6070841987824931], [0.6115071105783894], [0.4888500918545905], [0.43338852435927594], [0.5734870263672835], [0.6315171361463462], [0.6550351559858428], [0.6670821676526966], [0.5859720606866394], [0.3976660943246016], [0.8079890502068731], [0.41350427348820895], [0.535113920441399], [0.38250522597871883], [0.43940613512884896], [0.6115097741509056], [0.5967278924533738], [0.4465491514024936], [0.6389263055354079], [0.5205406500738328], [0.6695858899747673], [0.43256520100496987], [0.5587382404033043], [0.5744968645810167], [0.4833725958279298], [0.745601214222432], [0.4597991890472428], [0.48974954271331606], [0.6191802937017472], [0.7037028607248659], [0.615346660305495], [0.4855469034418093], [0.5489638499525906], [0.5072379552347093], [0.34034501029138026], [0.6582156304837758], [0.5621213849243613], [0.7032914558023695], [0.6310026411031463], [0.46842733554982074], [0.6559984056846797], [0.5805406755258901], [0.49686737489373173], [0.4952319602303428], [0.6322190817111423], [0.7292806940603889], [0.5904603838573643], [0.7554070668231413], [0.5913944699611704], [0.7247265295472995], [0.49565969767729356]]
[[0.4783297974250436], [0.7811312684513593], [0.6473984040237049], [0.4881233404435449], [0.40713928901159924], [0.7159642901695006], [0.5186370389306022], [0.531362287787123], [0.5973327226232287], [0.6857907199525501], [0.606485244193931], [0.559197015571095], [0.6066505228492638], [0.610924049766592], [0.7367376799632828], [0.6050492936843359], [0.6089809865278218], [0.7636338599888811], [0.49238774832606835], [0.4830151890725778], [0.4284747317365801], [0.4085952966072874], [0.5050918926445468], [0.44838990967438347], [0.6759808294897064], [0.6591379025307527], [0.702703372197017], [0.48131603599317196], [0.466143524685364], [0.41790530314119145], [0.7153315649913661], [0.6206233312060698], [0.5756053201158962], [0.5839474725877035], [0.6612156765942256], [0.3806399862959781], [0.6194670619681534], [0.7042780791542327], [0.6134137079196608], [0.3581971005006589], [0.5349057022528141], [0.49972076281894917], [0.3504834551936266], [0.6222419955549716], [0.5029159897667783], [0.5681957597164463], [0.34879176289425584], [0.5210010257707957], [0.4520330964468143], [0.5923780141200273], [0.5621797862021519], [0.31260423842183116], [0.519833579307855], [0.487604061073751], [0.4742702478872136], [0.47835521478933946], [0.532559487539236], [0.6949518687419074], [0.604947521672131], [0.6345097940845313], [0.7583328308659234], [0.5564826777071342], [0.6090090841236264], [0.5874591360796313], [0.7584487024726407], [0.4178040750098777], [0.6141022402853624], [0.35810487852595413], [0.5314905118860441], [0.5492086344160947], [0.5016710196671748], [0.6164543573383514], [0.5488400224111883], [0.5928991365383852], [0.6657997927006822], [0.5832234426423027], [0.48373356450139343], [0.6768106960703258], [0.5864163221071946], [0.5036392785434607], [0.555866741329652], [0.5207962347968771], [0.6033225190393775], [0.4539793921664147], [0.5703863264598911], [0.4300120772801089], [0.406825374464979], [0.7576763100716659], [0.45699907810112683], [0.6628692941422609], [0.3807170967869647], [0.5145659879610435], [0.5836924585450733], [0.4965991709934387], [0.5671687246896756], [0.5829650526863515], [0.43602997850871494], [0.6807104136982971], [0.4494521243056664], [0.6871567388105044], [0.6772089543839024], [0.4578955772085087], [0.6701524891660974], [0.4675332660588847], [0.5296905715248001], [0.6850646987594035], [0.6140125688023483], [0.5665918848690102], [0.5426083297147042], [0.46341637258326296], [0.368425905725093], [0.3524631379894345], [0.586024722755331], [0.5867847901180075], [0.5682751199052982], [0.6780223836637056], [0.46950039999408655], [0.5084372491341668], [0.4891627397703969], [0.5070519431209969], [0.5660412266287448], [0.4849773659861792], [0.6353593715723478], [0.4953705845028112], [0.6956661055247579], [0.5741506308764801], [0.5840748743929306], [0.35108372377217323]]
[[0.5747677394849793], [0.7961448427592581], [0.7734692229267791], [0.5910127677119965], [0.7068223017143578], [0.6625960218165048], [0.8607285749402392], [0.616960059305022], [0.510022573183501], [0.7077854232676376], [0.6710693040633638], [0.587541097715849], [0.6883286125669403], [0.5509588539547547], [0.7527405213472529], [0.7355111377055596], [0.6690423967379607], [0.8156364084135449], [0.616521411557881], [0.48902218509630324], [0.5690085124787936], [0.653129028182478], [0.6256718811578745], [0.4913515490559788], [0.8232345528917319], [0.6378923600747406], [0.5449888867318037], [0.6208862302800285], [0.5178272756901874], [0.5783392699658341], [0.6737864841180469], [0.5931959857270841], [0.8343965496671619], [0.6311856368531246], [0.7960184276595316], [0.5099537047032063], [0.7251310839913345], [0.6241111957024559], [0.6005125942447561], [0.6534411096961744], [0.5580160669029307], [0.5484790300528004], [0.49650887238463604], [0.6179203645039706], [0.5369706283356782], [0.7529385397561371], [0.4067944228064879], [0.690604297468817], [0.6307361155733819], [0.575275507497104], [0.6296299526080951], [0.5165018171568476], [1.0387954957561598], [0.6822240421074093], [0.5250808405341469], [0.6503371036078911], [0.6847106414252], [0.5155124856022364], [0.6158849046038938], [0.6409531601139611], [0.6719472145296634], [0.535901348694114], [0.7446632816017266], [0.5859292714033933], [0.6615007053406821], [0.406814568587009], [0.7325477332288146], [0.5424047021976742], [0.5767555192524542], [0.6397377076947532], [0.5947883044938883], [0.5102651110928756], [0.548836417097573], [0.7476991151677159], [0.8872953735675553], [0.8027210409934951], [0.6145638819213055], [0.9818624754659537], [0.7186811531364082], [0.6150322476121052], [0.5041282347065721], [0.6024566312385754], [0.6315171361463462], [0.5337087752241941], [0.6296970519562217], [0.5851729546305446], [0.5835427494216506], [0.8344104777167428], [0.49126049663498517], [0.7597234260057314], [0.5332602840914438], [0.42281709959171476], [0.6640680533190091], [0.5380616195352698], [0.5543581956179213], [0.6467719637617175], [0.5841305955099958], [0.834327161944896], [0.46380548289625334], [0.6111960361239628], [0.6866939597616823], [0.5398359702233371], [0.7241055800533746], [0.6473579872592577], [0.5427549594758845], [0.6692688156411875], [0.7163364294896377], [0.6351043397461107], [0.637295141497312], [0.5504562486108209], [0.5487834668583865], [0.44272915723801065], [0.6086869749892658], [0.6275234670727681], [0.7842144539342453], [0.7317781747223293], [0.7341896754813518], [0.5597991672245792], [0.6006504469300641], [0.6705439763462273], [0.5660412266287448], [0.5836414460030093], [0.49861078575105633], [0.6244725784597543], [0.7937633792481708], [0.6753825359348067], [0.6716270890896959], [0.4658890999116303]]
[[0.33589839188514636], [0.6266923685422096], [0.7612989630722107], [0.545641546496977], [0.6388030061254575], [0.7816527608257806], [0.5469986013577112], [0.5131193300694127], [0.512961535180559], [0.614355343534916], [0.5851455874568758], [0.6119823186095257], [0.6883286125669403], [0.6482405720331011], [0.7610573232418666], [0.6089719818264772], [0.680124476004397], [0.9073652267687635], [0.5508816012778966], [0.3433343968886392], [0.4382894461664294], [0.38055874423213637], [0.5275266274867274], [0.6525477040646781], [0.6077494374509071], [0.48030517517103005], [0.69161429697752], [0.5721716145296214], [0.5356247291301169], [0.40780834542062927], [0.5691538859434045], [0.6540476791582257], [0.6587714356183435], [0.7214993614200333], [0.38721125098070436], [0.42625241502999445], [0.5876794377183867], [0.5228665845065236], [0.4246068081372198], [0.6214115906694573], [0.4350540874499411], [0.450182341498947], [0.30139692474809576], [0.6411841366915003], [0.5406341132328059], [0.5531857313562712], [0.2577417310251565], [0.626902387790432], [0.5212439827980991], [0.44016777824160963], [0.6296299526080951], [0.27294670374746305], [0.7585650935817732], [0.3835081646168031], [0.3680032479194235], [0.4541826739779125], [0.5006242536690664], [0.48050296266609416], [0.6114744974958612], [0.5799481570088733], [0.7108449581223759], [0.4700547564231524], [0.4996474123800932], [0.5736087377942964], [0.5986835782310507], [0.37121743419051656], [0.7823538331233155], [0.43469056636780967], [0.5574626955411692], [0.6331437573078493], [0.39452008917018516], [0.43741439748397126], [0.4051615490240298], [0.5061236016660013], [0.6543411469143343], [0.7382420695764227], [0.5854740248213319], [0.713114189428815], [0.49926269672381285], [0.6150322476121052], [0.4668496629160809], [0.4759955164974407], [0.5413146120038601], [0.47451937058086646], [0.5479410570570452], [0.5512460115400827], [0.4810228338924333], [0.8171525852757966], [0.49868453220556036], [0.5908631580787287], [0.4250509076290291], [0.4877003787012832], [0.6382160272064257], [0.5297479373790578], [0.6938477739274597], [0.5665446336507739], [0.3974402117618294], [0.6800535847675858], [0.3351553873016418], [0.41926565590867826], [0.6792724925929997], [0.4377677528342432], [0.7241055800533746], [0.40477674401589003], [0.4431556166957398], [0.5460686675315796], [0.5065056867277141], [0.6277847595392688], [0.4283304131569915], [0.4504592936458708], [0.3257345687701392], [0.3593432006316215], [0.5564818308515432], [0.5518373278550577], [0.706935192762067], [0.5611248399736839], [0.44498673915381287], [0.5684593970909853], [0.6672190923011011], [0.33282764528361664], [0.4753974375930512], [0.46543763175917074], [0.5406791540377874], [0.5115155239073144], [0.5018236350502142], [0.6127502151580483], [0.6289456889263595], [0.4543686576662846]]
[[0.5226175367234615], [0.5753950374216841], [0.7612989630722107], [0.5910127677119965], [0.6554249731574066], [0.669050302237655], [0.4686358064373414], [0.4910286689193013], [0.48199670156394203], [0.8385037720200172], [0.6824939115491051], [0.4925932237480736], [0.6883286125669403], [0.5432123751582145], [0.7527405213472529], [0.6089719818264772], [0.7398592559209798], [0.6995469886794744], [0.6815198092134273], [0.36455342866393275], [0.4514257423366558], [0.7168205730203154], [0.5969398068180356], [0.6525477040646781], [0.5827053951182767], [0.6591379025307527], [0.5970256045973249], [0.5721716145296214], [0.5356247291301169], [0.40780834542062927], [0.6257621764715086], [0.7599022707047888], [0.5840654294863592], [0.5262351896601838], [0.45496238016568946], [0.41294035515909366], [0.679753325798611], [0.6374509065175249], [0.6217287471940236], [0.4851616267513732], [0.6265951027002468], [0.5381674670321064], [0.42271320875141116], [0.6411841366915003], [0.7139439258444923], [0.5013297669835085], [0.38655815899254664], [0.5457681676524667], [0.6099297380954871], [0.4757250022760549], [0.7046936960575183], [0.4965522832023746], [1.0387954957561598], [0.6822240421074093], [0.47364514983364236], [0.4435127862770733], [0.662721840865463], [0.5130522077776112], [0.7017945114000553], [0.7097706081603371], [0.67091934295912], [0.5087315786835087], [0.7793608966065428], [0.5751623577846838], [0.6026500549920083], [0.37179759613827423], [0.6964704558952918], [0.426338461096605], [0.5853583355767932], [0.6331437573078493], [0.46412689927368034], [0.40663665396819515], [0.39227406569568835], [0.7439975672106146], [0.6072320234945452], [0.7382420695764227], [0.5915257246236756], [0.6095721242775436], [0.6217269765575356], [0.6150322476121052], [0.4928684593815347], [0.6654598975046835], [0.6315171361463462], [0.6550351559858428], [0.6617229777226177], [0.5512460115400827], [0.4113727179710254], [0.6392771667715116], [0.5044497493324713], [0.6076816746964404], [0.671631388334566], [0.5271090587214441], [0.6539293461490849], [0.5297479373790578], [0.7343793867517816], [0.7580067410462303], [0.49731840094875196], [0.6910096209783664], [0.5285200450202614], [0.6376852998415348], [0.6792724925929997], [0.4962399691282132], [0.5934694253509101], [0.41778167547424183], [0.4431556166957398], [0.5460686675315796], [0.5325969165233445], [0.5881884826927745], [0.5383575115497125], [0.5880783047747776], [0.4030678035509682], [0.4614198402234057], [0.47433208482941913], [0.7206265770966781], [0.7654921652591823], [0.5423972742568719], [0.4480262244611027], [0.45343322346388665], [0.6648802439683007], [0.5807023508001539], [0.4411532041758247], [0.3722647776774993], [0.42182877785667], [0.6414819786144921], [0.6978404086381921], [0.707198151940067], [0.6637581516263206], [0.4266999478526643]]
