[[0.7039500701692859], [0.6324664225548187], [0.5629622195621722], [0.7703366266562343], [0.5668083523624937], [0.6192811646533363], [0.3936114571813589], [0.6911422137421233], [0.6619050480244029], [0.5748099833317856], [0.5589794964128039], [0.7501449175656921], [0.48759727405245845], [0.6640845292500923], [0.5838100616500062], [0.4786336532165246], [0.5321139847042539], [0.32713293009951355], [0.5381146805193977], [0.5277581111252693], [0.4791710185818986], [0.6839746831690678], [0.5397802038737493], [0.6357853001119], [0.4837636794468527], [0.747014984452504], [0.5197386152439646], [0.6599127717213555], [0.5434299280451484], [0.5391212999125657], [0.5577033744019445], [0.7677130781720822], [0.437492757743123], [0.5241617837029415], [0.3850982124648247], [0.4938230266323195], [0.5547832463700856], [0.5580079759447689], [0.6430216099121853], [0.5855260924875012], [0.5248793091043654], [0.4853134527754889], [0.6155906758277337], [0.5185038665660393], [0.5528482677505887], [0.536864081505315], [0.5890685920988702], [0.5381268442040887], [0.5673634920614478], [0.7155824144795994], [0.674025011183877], [0.4898197797836072], [0.42018562062713916], [0.7328933226443949], [0.6196960269314323], [0.6319022990498606], [0.8805370990161413], [0.510386593148697], [0.558468228940753], [0.46352639583486815], [0.5099135329588981], [0.679953634949279], [0.721005679381038], [0.5357132810460671]]
[[0.721905789517362], [0.7442329907379188], [0.4744711701638433], [0.5103951970596097], [0.6843481611586291], [0.5409915374701044], [0.2806314279396076], [0.2557758365283515], [0.5428352131548072], [0.631746820862489], [0.3897074634876216], [0.6742991988232342], [0.40509252049501254], [0.40279988024691893], [0.43337458346252067], [0.5060573773814243], [0.384638877527853], [0.3573686268496125], [0.5281391339863233], [0.4775388027330053], [0.4943308726835065], [0.41036599690751135], [0.6575309320062843], [0.5760848654991952], [0.7059432739725885], [0.531076125142794], [0.7294922399768449], [0.5292917561364865], [0.4081267315237517], [0.46813152520817736], [0.41872618370227954], [0.49136115736170954], [0.3783159522413988], [0.4006452546598989], [0.3850982124648247], [0.5215204317211874], [0.39850538127917445], [0.33755818023746637], [0.4325272385924709], [0.5248370981697441], [0.3970282814180698], [0.5131212993002238], [0.6123490479220238], [0.20645001686670034], [0.5183551922642937], [0.38287482802577627], [0.6513563643771325], [0.6011016857215652], [0.6024820348273447], [0.791097534802323], [0.4564607849630915], [0.4576567366650858], [0.3294500276318292], [0.4217542458885114], [0.46607315644775216], [0.5933723312228436], [0.8834109614119476], [0.34808469134252146], [0.4910966779549518], [0.45865675409422724], [0.3878137805518529], [0.49570815735155116], [0.5776134663841803], [0.432049803913433]]
[[0.8874466717713411], [0.7670811828866315], [0.5936964793782952], [0.7703366266562343], [0.6414380104213108], [0.6425377098233567], [0.3978032698875563], [0.5180879471938749], [0.6586372386123647], [0.8122528885345952], [0.6088732497415771], [0.8466179350950636], [0.45051855374903926], [0.6704604494888717], [0.5082541537266049], [0.5060573773814243], [0.6544996652292765], [0.5298809664739332], [0.575140453977919], [0.5652880048786078], [0.5284052857666155], [0.6004248961510832], [0.6575309320062843], [0.6953146348023281], [0.5450240599631394], [0.817191768538952], [0.640622379132472], [0.8256689099057382], [0.5396517703345793], [0.6808329737963064], [0.7255880493897467], [0.6878758438245451], [0.4483999847902357], [0.5665891414177987], [0.48701311133488023], [0.5253914693833269], [0.4953081500106289], [0.540171477230162], [0.7110813535258169], [0.6115546734342722], [0.4607635179333747], [0.5362931074546156], [0.7012506277450644], [0.4800977585315571], [0.65146624489949], [0.4581539507710004], [0.6778727226671539], [0.7418770693653378], [0.5932891457847725], [0.8054183123928303], [0.6103288371674722], [0.5005905880565229], [0.5735519386451082], [0.49247915883505433], [0.4798440390446354], [0.7230465892271126], [0.9405480699032094], [0.4951459812997583], [0.5524678356448993], [0.570699154212986], [0.4451166921848162], [0.729781404788574], [0.6912969048648553], [0.6097547852390299]]
[[0.7507720180878696], [0.5833263139622397], [0.5123634293070402], [0.5028247006512099], [0.5569423356704161], [0.48768511003798076], [0.36029140999276366], [0.609329451480115], [0.6692073932185768], [0.5668645549056998], [0.7518061678165845], [0.7705109759215847], [0.48316064732748243], [0.5686182675382773], [0.5716968004112826], [0.5366144939270602], [0.5166110189881726], [0.46958278186652364], [0.5281391339863233], [0.5460805008299029], [0.6507772537696239], [0.4246505521904206], [0.5744820605893617], [0.545212443886584], [0.49089436353235694], [0.8469845392562696], [0.6347769713054378], [0.6219909402604086], [0.4066239105260489], [0.6203041168733432], [0.7663899545699699], [0.6810172012785575], [0.5742157311339054], [0.4148183152136654], [0.48853932493703656], [0.4308997277867178], [0.42208385992242126], [0.4753923447554395], [0.5060178463065594], [0.48049525973536095], [0.4607635179333747], [0.5408236470407102], [0.5671584705265817], [0.5965461324471945], [0.6619021824848763], [0.4727112580045142], [0.6241672727130814], [0.47067486980038076], [0.4850963264071386], [0.6740822865643283], [0.5025249867771369], [0.5018906312573178], [0.42535358277629015], [0.49247915883505433], [0.44068072754402643], [0.534170038065889], [0.7191305728625184], [0.5526398626732162], [0.6528758092016606], [0.5179187668796525], [0.4239299230254766], [0.538132241149553], [0.6912969048648553], [0.4222164455362431]]
[[0.7139437840125467], [0.6323278966883868], [0.5028021361038773], [0.7703366266562343], [0.5896671611976693], [0.5919264343282549], [0.3777032369325908], [0.508288418715626], [0.6795455911413039], [0.6935020369686712], [0.6331257805193923], [0.7587975156485028], [0.48316064732748243], [0.3878296611538266], [0.4221379934065323], [0.456014765841844], [0.5541367185878455], [0.491614144351656], [0.4823070018295808], [0.5860481112839087], [0.44583198049231465], [0.49778669360124433], [0.5652566925319451], [0.6654241979110594], [0.5823355728834415], [0.531076125142794], [0.6236487844170536], [0.7517482498870665], [0.6513682920926648], [0.5014668566532444], [0.44925343207949037], [0.6810172012785575], [0.5259176069570114], [0.3743582773276932], [0.5027357479984661], [0.3945249263083314], [0.4240919730769575], [0.39387789417901764], [0.750120010730954], [0.5299471319721697], [0.5116737309891296], [0.5408236470407102], [0.6719961041971438], [0.5786259180289322], [0.6619021824848763], [0.4010365100618079], [0.6015315615294627], [0.49939652425768033], [0.5916858924387929], [0.6453278221555484], [0.5500083589552468], [0.4913829306774615], [0.3245999515809686], [0.414309388397708], [0.590054288166098], [0.5836787255747267], [0.705103345344863], [0.4556005966457535], [0.5171138066630767], [0.40024359052872455], [0.47971635279724173], [0.7984730034900993], [0.8142374858022059], [0.5076771281873241]]
[[0.7025360463681772], [0.6324664225548187], [0.5563988965870467], [0.7703366266562343], [0.6951840596416972], [0.6885411969310793], [0.3738729410235102], [0.636637890043154], [0.5869398816418299], [0.7791471927843582], [0.6032771548738373], [0.5972036697470345], [0.48316064732748243], [0.5364110670367971], [0.4049242488410632], [0.4821211184842738], [0.64653355259163], [0.47931293119377505], [0.5281391339863233], [0.742080874178005], [0.5782540298874044], [0.6112978347413918], [0.6575309320062843], [0.7122299226432461], [0.5925124313020014], [0.558748031012742], [0.5953087078941738], [0.7864303645914732], [0.7931336789911636], [0.6770670840701513], [0.5379367870246295], [0.5984289814955763], [0.5683726599630867], [0.44023092752322435], [0.4437996859419475], [0.5215204317211874], [0.5619142492871532], [0.5597764718572587], [0.6128897168766707], [0.6465147958595414], [0.4615913868958291], [0.6828311558413139], [0.5725620658193633], [0.4800977585315571], [0.7017279026428116], [0.5871328129372813], [0.6168019529302691], [0.7216833525442579], [0.5470809498270044], [0.7832532918991241], [0.7356797652479634], [0.5130063642063698], [0.5611964626858149], [0.5212395379342842], [0.4761806635903587], [0.6319022990498606], [0.8083197237467981], [0.4704864471238299], [0.6097403040759527], [0.5617974996642324], [0.5761517552766797], [0.8226434922456765], [0.6229352409338795], [0.4654709850648945]]
[[0.7143311974051819], [0.6685369905028561], [0.6113822407388361], [0.703079953992329], [0.5215903646796409], [0.647799397155313], [0.3459752893372692], [0.5572352988307879], [0.7175311103699997], [0.6102021517777222], [0.5024571353191295], [0.7357673198498668], [0.43584101410853215], [0.5128649513668061], [0.5897466583716284], [0.4411781467391929], [0.508447833542598], [0.4293688485515743], [0.464204196733274], [0.6748741706090936], [0.5075926336252543], [0.5288088857647546], [0.6006543212896736], [0.7542664455526848], [0.4793983689843053], [0.7136397779044611], [0.5137704454752354], [0.8025061975259085], [0.5211561886864754], [0.7401650551148599], [0.47995963055271773], [0.5845001747601463], [0.4274006551283143], [0.4874508780054425], [0.4384700606428762], [0.5446256825789424], [0.5547832463700856], [0.5870067514237935], [0.639266567946908], [0.5627208069598021], [0.5175482672586342], [0.588989148413213], [0.597427971107354], [0.4446655725602665], [0.65146624489949], [0.519090445799433], [0.5346679488434353], [0.5399980204109351], [0.5932891457847725], [0.7155824144795994], [0.6103288371674722], [0.44106229546858133], [0.41811893157594926], [0.49247915883505433], [0.4380174839739916], [0.5628140219169567], [0.7836903315542559], [0.5357942502203874], [0.6472110398002535], [0.5287883676538659], [0.4742714870944901], [0.6839719928780914], [0.6912969048648553], [0.5357132810460671]]
[[0.6857382763476265], [0.6520805770839901], [0.5523810292836735], [0.6133992263493928], [0.7595260961098734], [0.7603541073615707], [0.3777032369325908], [0.5364550184783174], [0.4972946156994557], [0.6432579317952395], [0.5556235851144768], [0.7357673198498668], [0.42072124991355764], [0.4756882427452735], [0.36363727154004916], [0.43706503849573575], [0.4784333780165438], [0.4293688485515743], [0.5824669905952762], [0.5363315324971167], [0.5337193115804724], [0.5650923786934273], [0.5687521685487265], [0.5469725318291214], [0.5193861126434456], [0.7136397779044611], [0.5631077056931814], [0.7174142340631169], [0.4673075663107394], [0.5517849856479683], [0.5846010735662571], [0.6149848694099416], [0.518431064785907], [0.4544320199233922], [0.45571366762007764], [0.3688217910964147], [0.49799356510948106], [0.6091097908791244], [0.7286049487835651], [0.679971901346269], [0.45637112465091334], [0.5129407265002045], [0.5349576654258441], [0.5117938682085246], [0.5996914086492537], [0.4406395984634368], [0.6364204134162952], [0.48800011852847386], [0.5898798142566052], [0.6527550479496955], [0.6449835367533969], [0.3792968076779134], [0.35568221292265506], [0.49247915883505433], [0.40931027281240195], [0.6033149185310199], [0.8105115898856714], [0.4042491057540768], [0.6083281561447276], [0.4142482922503097], [0.3724911069089466], [0.4782841897080696], [0.6912969048648553], [0.5357132810460671]]
[[0.7715741663173395], [0.5624229482390228], [0.4744711701638433], [0.703079953992329], [0.7595260961098734], [0.672014727660298], [0.4262335360614471], [0.6714129228151049], [0.5920346341988125], [0.631746820862489], [0.5133750192669007], [0.6346253716288283], [0.42529598395017226], [0.6699027721315773], [0.47885174298159233], [0.5060573773814243], [0.45237234968084233], [0.6049981157520057], [0.46346148355645644], [0.6881908290229329], [0.4796715030846831], [0.5066528533078529], [0.5461697071058663], [0.5471233200705774], [0.628182552338955], [0.705779480128687], [0.41429563472366976], [0.7634600523971453], [0.4725080729043527], [0.7219666550428641], [0.5938135255524697], [0.5526659124151503], [0.5236546716761767], [0.445019919851265], [0.33570152393845437], [0.4262253809431521], [0.6141911858397635], [0.434993198466903], [0.7286049487835651], [0.6216376556448653], [0.48164261662895236], [0.5331049759486549], [0.6897656976834399], [0.44935745763563406], [0.65146624489949], [0.4184936596309663], [0.6513563643771325], [0.48800011852847386], [0.46079821957197054], [0.7881609009716554], [0.674025011183877], [0.43833781624770957], [0.3830831806208034], [0.49247915883505433], [0.4237807871134862], [0.6179033734345031], [0.8834109614119476], [0.5467895615891329], [0.5711700777804205], [0.5242477660096345], [0.4657135101972043], [0.6473920353083561], [0.6912969048648553], [0.3605702900105337]]
[[0.7374486205862655], [0.6151195690899953], [0.5478169616189478], [0.6043424101475124], [0.5569423356704161], [0.5735661011075096], [0.39054879879043686], [0.6323440815742566], [0.7741901834078434], [0.631746820862489], [0.7251506203251687], [0.6760497873534831], [0.4221198440234345], [0.46468034822917853], [0.5716968004112826], [0.5067353997255009], [0.5801899042547943], [0.39515063713702625], [0.5429474553632383], [0.7294639631561834], [0.49586440909401797], [0.48993549550932824], [0.6422533813129221], [0.7408938776477106], [0.5854112760766979], [0.7229097959176115], [0.6289772653440736], [0.6445166292020871], [0.46555074341222175], [0.7392319552224665], [0.6431421957629784], [0.5607417493105833], [0.6139305522799187], [0.5475260270733042], [0.4829978229129981], [0.40890222111196933], [0.37189814935617954], [0.540171477230162], [0.5649929366941774], [0.5575711790870925], [0.6267878479627125], [0.6071236047827149], [0.6866417632216515], [0.5406564409423552], [0.545302138702453], [0.49656881425249866], [0.7248702067117478], [0.6616644440426884], [0.5512288648149728], [0.8480069331886301], [0.6041375123229575], [0.4370443676375258], [0.4056690114065292], [0.4517388913064698], [0.3898297477597082], [0.534170038065889], [0.8719220998582462], [0.4669692139865761], [0.658236765746685], [0.5541841866653016], [0.375358586771002], [0.6164252245005493], [0.6618443869976336], [0.49131804009066976]]
[[0.7415711852540691], [0.6652604011725604], [0.5757615407063892], [0.5811427826662254], [0.685918778989999], [0.5855608993856709], [0.3946490235832737], [0.8034126188631577], [0.5607606566207504], [0.6552927286330863], [0.5053718344876661], [0.7983796298755607], [0.43373861576191597], [0.5530081077671971], [0.5413715242215562], [0.5067353997255009], [0.5771627936386744], [0.4302945359451924], [0.5426909413925464], [0.5222075852389341], [0.560169949091746], [0.6659686748191529], [0.6575309320062843], [0.812560885954063], [0.5622819999035527], [0.6444223927922795], [0.668048090317906], [0.8212660988778819], [0.5158843707853803], [0.7392319552224665], [0.5833652946467912], [0.5101013891359354], [0.4918218308394394], [0.4744618376450082], [0.5880002901079766], [0.5336115525185117], [0.4647887427372782], [0.5580079759447689], [0.8004197343624742], [0.5652151670019542], [0.5397716278057385], [0.5399858995430027], [0.6897656976834399], [0.5981245417966917], [0.6739078643324907], [0.48835119460053983], [0.5456048159221254], [0.720184272530984], [0.6013149516149482], [0.7076655196057916], [0.6789194759022537], [0.40214200972245867], [0.5307128708620291], [0.5982942372292293], [0.4357651822064045], [0.5324814643544086], [0.900738981402267], [0.4704864471238299], [0.5579246317210684], [0.5268991271883248], [0.4815886125143569], [0.7053352321342066], [0.7147567181886125], [0.44088759407577466]]
