[[0.7416955966462847], [0.5509397793347295], [0.42567875835848945], [0.5924080313371962], [0.4489793224751273], [0.6130702492346783], [0.2840534477670614], [0.378321871031812], [0.4194762582325786], [0.6312236063552659], [0.4239412114328888], [0.7983796298755607], [0.3739027609083758], [0.35980714825929927], [0.6044069283343647], [0.5094403429423122], [0.5140444020468031], [0.43554176296070013], [0.4079435504544249], [0.34853298472805183], [0.37103590982311463], [0.4336962675901309], [0.5210674003798035], [0.4862585007998965], [0.6123873156453098], [0.6822056940059328], [0.44573239769607376], [0.5775312169134403], [0.4087111369426878], [0.4789601301048944], [0.49649593847238677], [0.6049504042207146], [0.499424867504148], [0.3159275976681005], [0.40248088743138466], [0.2936040222017177], [0.5784797455477455], [0.5181209703477514], [0.5192560879493915], [0.5039443557423956], [0.3429448982396843], [0.41364115368574295], [0.8160961809448802], [0.5468657002505392], [0.6279330424174959], [0.2832559031843165], [0.5772084403422888], [0.7033824081709763], [0.5514923866797643], [0.5845626929844989], [0.4769297222472045], [0.40214200972245867], [0.3322241985881328], [0.5105347493143797], [0.4643494855609264], [0.46588891290391055], [0.6891225452295417], [0.4539858821637346], [0.3740614574594088], [0.7315141798578182], [0.38247876420945165], [0.48012501782783434], [0.7147567181886125], [0.2508818452523009]]
[[0.7139437840125467], [0.6099794755125351], [0.5757615407063892], [0.7703366266562343], [0.685918778989999], [0.6535341819990894], [0.3946490235832737], [0.6853254125911685], [0.6795455911413039], [0.7691244233685379], [0.5840864227608695], [0.6916274095639036], [0.4072950015165197], [0.4939265749847473], [0.5698772178735234], [0.699669315314414], [0.5882623123891616], [0.42826669677772466], [0.545580938842384], [0.6236003236613165], [0.5597105005312056], [0.6955161965797478], [0.5989810318765647], [0.9679576478575507], [0.5466978924540011], [0.7136397779044611], [0.6247494330796937], [0.6669016183386212], [0.6177421850136644], [0.7392319552224665], [0.5546997282189111], [0.6810172012785575], [0.5275521546793682], [0.509871984333458], [0.4720172497725726], [0.4818390735229796], [0.5547832463700856], [0.6305646989465544], [0.8004197343624742], [0.6214309876403181], [0.6267878479627125], [0.6071236047827149], [0.5714846408646606], [0.5108437973815244], [0.6022826201405492], [0.5126096663678053], [0.8216043854107152], [0.7216833525442579], [0.7149006048937314], [0.720435596846089], [0.674025011183877], [0.6851439235340491], [0.4955474593818467], [0.5479518610918813], [0.48794580469944315], [0.5600598765925019], [0.870687331084652], [0.497815315294341], [0.7441166037080641], [0.7470314460414044], [0.5545521728845639], [0.6322673147312359], [0.6912969048648553], [0.5357132810460671]]
[[0.8005331681896354], [0.6411760935872979], [0.5757615407063892], [0.6035494885005964], [0.6096857845843872], [0.6402301193970921], [0.510358420356368], [0.666653974256832], [0.6608086479474278], [0.6443153188145891], [0.5840864227608695], [0.765246837109041], [0.48316064732748243], [0.6626052739034014], [0.5159383189610564], [0.699669315314414], [0.5275560198415187], [0.3656222057222412], [0.4800674984835201], [0.7359991406231103], [0.4910590107129204], [0.7158882242592844], [0.6575309320062843], [0.7457497386279685], [0.5341456258339229], [0.5092706748781181], [0.6404224967647493], [0.8173275789340795], [0.4992702717454186], [0.6808329737963064], [0.6028103953029879], [0.6018792583836965], [0.5259176069570114], [0.6495221723876414], [0.4305433204728825], [0.40027037073309824], [0.5825594441836258], [0.5495080683781591], [0.5795009293667], [0.651314203107266], [0.45524887125049257], [0.5408236470407102], [0.656713207318529], [0.5719209852264884], [0.7509615744859354], [0.5545275811563286], [0.6477707934083526], [0.6373756134998028], [0.5683877740375851], [0.7802167413121707], [0.6889940628393859], [0.6851439235340491], [0.5143928084894137], [0.414309388397708], [0.561292657901127], [0.5628140219169567], [0.8320820615079415], [0.4591931690293224], [0.6061335290820372], [0.6802737720072746], [0.36996705145567627], [0.7157588798847676], [0.6340550735866269], [0.43289542844384127]]
[[0.6802097720187686], [0.6526089831367983], [0.6409580882954345], [0.6658013220411798], [0.4727752813198709], [0.6525351132018458], [0.3777032369325908], [0.45002981452835167], [0.5002402007056546], [0.6322033389920108], [0.5972482157920297], [0.6357098278111462], [0.4675861916951945], [0.6963922412853331], [0.5003528859527513], [0.41621984844171167], [0.532033689749492], [0.3656222057222412], [0.533923281817144], [0.6096300779207272], [0.5892971720331497], [0.5417822730167597], [0.6734612456882302], [0.5504821083372089], [0.5341456258339229], [0.8088492811172079], [0.4939255551468401], [0.7425971963668301], [0.3887330833456002], [0.4929952903030713], [0.46695886222467], [0.6810172012785575], [0.598376053188395], [0.4612823860484351], [0.4437241099075], [0.36980134888407307], [0.4240244262492435], [0.4989631093158372], [0.8004197343624742], [0.6897086717530148], [0.5184035127989024], [0.5331049759486549], [0.6897656976834399], [0.6627703690323936], [0.5444171323481665], [0.4184936596309663], [0.5987725922756565], [0.5843392446072162], [0.4666570210105252], [0.7913355378642106], [0.5212486994607352], [0.47063366214267255], [0.3545592586043176], [0.3901555167037899], [0.46638466000378104], [0.5859119757862932], [0.9807598587965332], [0.5196463337170691], [0.5607639966591479], [0.5940543097032618], [0.3021747256921039], [0.6839719928780914], [0.664759731138201], [0.4041909809691662]]
[[0.547449456405542], [0.6787582831802437], [0.6409580882954345], [0.7703366266562343], [0.6202411251675536], [0.5725896432003412], [0.3226775436038467], [0.38347792948683473], [0.4972946156994557], [0.6820322526811394], [0.6750075707947609], [0.6847429005294973], [0.38009441014027084], [0.6699027721315773], [0.48373427333674146], [0.48136095354906167], [0.5302220236894652], [0.3757229578597365], [0.5381146805193977], [0.5652880048786078], [0.4414799930939061], [0.5373133232474181], [0.5397802038737493], [0.5339065151483027], [0.4935381358237276], [0.705779480128687], [0.511997467339469], [0.6695500917562035], [0.4521363452826417], [0.6203041168733432], [0.6575276957550601], [0.5930229609021824], [0.437492757743123], [0.384537370430415], [0.349713589905742], [0.4052377201926405], [0.36404467548930175], [0.540171477230162], [0.5795009293667], [0.6132069732126294], [0.4607635179333747], [0.4313755367032787], [0.4711997539150705], [0.5115687088873504], [0.7283805131382732], [0.3629455000942135], [0.6902476120379472], [0.5399980204109351], [0.5470809498270044], [0.7594843373567742], [0.5298617459433144], [0.5307857419259048], [0.5026881372024358], [0.5164353318453321], [0.5525363380719387], [0.6601231724144399], [0.7603473405928198], [0.43173519098623847], [0.4777155751746566], [0.5179187668796525], [0.3939259250276069], [0.7053352321342066], [0.6912969048648553], [0.5254210028851921]]
[[0.7249290020732673], [0.5973742837587608], [0.591938052100506], [0.7539066940228618], [0.5445752907669482], [0.5501530693171296], [0.4291905328351406], [0.8222575177598132], [0.5061983584201237], [0.5819067602361119], [0.5090114033601775], [0.7096436365837416], [0.2892455137969081], [0.42163374062496345], [0.45155105272804846], [0.4407163006224546], [0.5702730246864727], [0.4293688485515743], [0.5024823548431796], [0.6653272751249832], [0.5264995774559781], [0.4663648342833475], [0.6814648232116558], [0.7278233479698824], [0.5341456258339229], [0.7136397779044611], [0.7348957673988441], [0.7864303645914732], [0.4673075663107394], [0.5120918078871569], [0.5677236526246329], [0.49346564564144935], [0.4889799388433581], [0.5234886069316755], [0.4539411527447599], [0.3916310110340211], [0.44595420409962155], [0.540171477230162], [0.7043846562437088], [0.5836429122654583], [0.33145777026534595], [0.5331049759486549], [0.6309073229530217], [0.403201091400353], [0.6195540312373571], [0.4205405102903975], [0.5772084403422888], [0.5418983193871336], [0.5830685911237483], [0.8399491076195932], [0.6526011381848504], [0.6950728424144487], [0.3425903376623333], [0.49247915883505433], [0.419573518159133], [0.6076593078523088], [0.8025418689711864], [0.5485291719104076], [0.5607639966591479], [0.590902045399535], [0.49810830182467447], [0.6334312027133577], [0.6912969048648553], [0.5357132810460671]]
[[0.6474304920043529], [0.5977465500031989], [0.7116019041535824], [0.6049146461770019], [0.685918778989999], [0.6379282009251754], [0.4779428279703175], [0.5491110827911145], [0.5949713888850016], [0.6433078475279591], [0.49545599637294724], [0.6269751007322466], [0.3562144536394919], [0.5485993157802355], [0.43337458346252067], [0.4058403852307592], [0.5731928657272606], [0.41383921103100285], [0.5281391339863233], [0.48554121854309557], [0.5782540298874044], [0.6165084398477779], [0.5847316901539287], [0.6102351740983837], [0.5928808561809519], [0.5848351993267644], [0.5943402483293775], [0.927857203568244], [0.5855934381267667], [0.5635215844203741], [0.5677236526246329], [0.5984289814955763], [0.3844266715877245], [0.45538620948347047], [0.4316879335214833], [0.46384882057513954], [0.5132811285855255], [0.5337697868525731], [0.4711157446321873], [0.6278154309328142], [0.5775081851143433], [0.5331049759486549], [0.5415204434449524], [0.4800977585315571], [0.5052688241168275], [0.4409978315013512], [0.6498868642375135], [0.7216833525442579], [0.7547615517367454], [0.7701282621103676], [0.7729496887671665], [0.4786838719700856], [0.5611964626858149], [0.42629622496437913], [0.48885525305521554], [0.5212881608826712], [1.0405401690208054], [0.5477012201556768], [0.5711955909457027], [0.44129658799542265], [0.45440625114016897], [0.6839719928780914], [0.6487173510277583], [0.4758599952783055]]
[[0.7012181101752402], [0.7492550822412365], [0.40923531355987386], [0.7703366266562343], [0.5386161628217087], [0.6385474269613242], [0.42798022635167726], [0.43065231194985], [0.5766191178228146], [0.5651182636668786], [0.46995333316743915], [0.746043829803432], [0.48316064732748243], [0.5456029555830495], [0.396051632329944], [0.41365684410805303], [0.47812219504124515], [0.3850811854011259], [0.5662468703566298], [0.6864616450997364], [0.5205311619127597], [0.5265104347746414], [0.5652566925319451], [0.5409086502925027], [0.6373853273845117], [0.602632790859628], [0.4641782407135237], [0.5904770298064597], [0.4792882369621624], [0.42315846280543484], [0.42379417172886047], [0.5159492490185611], [0.6147660000366553], [0.5331580297605523], [0.48102860654913804], [0.6357713503294956], [0.496088749909145], [0.4382583036499714], [0.5753848845144315], [0.6894876074284183], [0.3736308882515454], [0.4994710667792833], [0.5671584705265817], [0.7190633562648199], [0.6619021824848763], [0.502960041150989], [0.4007646268040967], [0.5355282269607649], [0.5214411049937291], [0.6771496260352986], [0.6093296999793966], [0.46776448350562433], [0.41638424895914405], [0.48993891729356553], [0.4939358887392503], [0.7053555249717014], [0.6468786407343936], [0.40708739449421877], [0.5731402157969469], [0.585183382101918], [0.300026999220438], [0.5808826276963531], [0.5835428888220398], [0.5012691877995883]]
[[0.8033071722571907], [0.6907981561342466], [0.5446764431833666], [0.5692236987589745], [0.6920179210243377], [0.6148580704923969], [0.3978032698875563], [0.6103562382718286], [0.6181001180229854], [0.7791471927843582], [0.6446822256870396], [0.8639490326161838], [0.4675861916951945], [0.6963922412853331], [0.5838100616500062], [0.5072789984738987], [0.6577997085041891], [0.45789469528746196], [0.5662468703566298], [0.6901238692266484], [0.5683958407442772], [0.5417822730167597], [0.6220768573703315], [0.6886700527823729], [0.6168536450260657], [0.7136397779044611], [0.6096034444545337], [0.7477946983955281], [0.5373566696478443], [0.8137566078844781], [0.6233383362610586], [0.6810172012785575], [0.5153071720387816], [0.5084016677444368], [0.5027357479984661], [0.4419633565165726], [0.6101114872038832], [0.5670521227056875], [0.6144120628232421], [0.632478908188625], [0.5116737309891296], [0.6711114799878929], [0.5725620658193633], [0.5185038665660393], [0.6869988456026832], [0.46991051503703174], [0.7473314630656323], [0.6450680167042768], [0.6747511082467901], [0.8735851794398036], [0.7444099817822987], [0.5252344040240488], [0.4485396315985842], [0.5593189546515078], [0.6245849290441121], [0.6755038177983106], [0.8698300242013616], [0.4881951279458438], [0.5454560651201772], [0.5568160331732855], [0.3827986171128863], [0.7273933789018833], [0.7980473102178178], [0.5887882838134649]]
[[0.6556888063083063], [0.6809561035918382], [0.5386131870458128], [0.6049146461770019], [0.7595260961098734], [0.3651849621696549], [0.32424748339289], [0.391491067248063], [0.564609391218056], [0.4256736332281438], [0.4778406026294607], [0.7357673198498668], [0.30766743275254377], [0.5230995199647369], [0.3635095847585853], [0.46438324349218824], [0.4514557394598292], [0.41383921103100285], [0.5824669905952762], [0.45558456936585773], [0.4384319464223868], [0.5650923786934273], [0.5848450052528746], [0.5136752933313813], [0.5602020623130713], [0.33834513662137705], [0.49822103717779004], [0.5324881712098827], [0.5463591328642828], [0.5242415794068225], [0.5846010735662571], [0.6002756528272866], [0.518431064785907], [0.463493609433418], [0.3386934530279635], [0.46384882057513954], [0.4242665896005313], [0.6091097908791244], [0.4282163715490579], [0.6216376556448653], [0.5140872745098924], [0.5129407265002045], [0.5426335099162408], [0.5719209852264884], [0.558033338742217], [0.42666532857591477], [0.5098432552974049], [0.48008196487728205], [0.6560231012469258], [0.7002924306586704], [0.46281039046774564], [0.3870587078060949], [0.5611964626858149], [0.3772848125064653], [0.4168199409582269], [0.5460637078823527], [0.8336673242368355], [0.6244546445622357], [0.38103509306179495], [0.5675539378686086], [0.4232238802683797], [0.6156051483016798], [0.6592408469464822], [0.30000787407559126]]
[[0.6857382763476265], [0.7222812580096543], [0.6686671444106982], [0.5584134762555073], [0.7595260961098734], [0.6005336558249191], [0.351683619588537], [0.5070714940120153], [0.6918195541574683], [0.5748099833317856], [0.5133750192669007], [0.7392491907957472], [0.35914013335928646], [0.4537690880705765], [0.515392679311375], [0.5026077522437542], [0.45081892584512195], [0.3653471640219502], [0.46346148355645644], [0.5797993900336152], [0.4970395920417996], [0.6445906275840403], [0.5397802038737493], [0.5136752933313813], [0.5496290923108237], [0.7136397779044611], [0.6096034444545337], [0.6977988326812274], [0.426056914116715], [0.8137566078844781], [0.5938135255524697], [0.6445392873101018], [0.518431064785907], [0.445019919851265], [0.556012637307356], [0.4342422958652984], [0.4964212862019648], [0.47768520138082055], [0.5520918443469165], [0.6372815000962949], [0.5140872745098924], [0.5695293298854627], [0.6825726586595687], [0.45319158742117177], [0.624843249963371], [0.4751913710948846], [0.5265184778363128], [0.6172447436208457], [0.4685732380850021], [0.7701282621103676], [0.674025011183877], [0.403483496810681], [0.4581545658038688], [0.49247915883505433], [0.5706766168184675], [0.5171833417879885], [0.6078948152415633], [0.49857997702724727], [0.4904966870600522], [0.5577343387808191], [0.4657135101972043], [0.5306392654665357], [0.6912969048648553], [0.5357132810460671]]
